time,ground_truth,imputed
2017-01-01 00:00:00,68.0,68.0
2017-01-01 00:05:00,68.1,68.1
2017-01-01 00:10:00,67.9,67.9
2017-01-01 00:15:00,67.5,67.5
2017-01-01 00:20:00,67.6,67.6
2017-01-01 00:25:00,68.0,68.0
2017-01-01 00:30:00,68.1,68.1
2017-01-01 00:35:00,67.9,67.9
2017-01-01 00:40:00,67.5,67.5
2017-01-01 00:45:00,67.5,67.5
2017-01-01 00:50:00,67.0,67.0
2017-01-01 00:55:00,67.3,67.3
2017-01-01 01:00:00,67.7,67.7
2017-01-01 01:05:00,67.6,67.6
2017-01-01 01:10:00,67.9,67.9
2017-01-01 01:15:00,67.6,67.6
2017-01-01 01:20:00,67.7,67.7
2017-01-01 01:25:00,67.4,67.4
2017-01-01 01:30:00,67.5,67.5
2017-01-01 01:35:00,67.4,67.4
2017-01-01 01:40:00,67.4,67.4
2017-01-01 01:45:00,66.9,66.9
2017-01-01 01:50:00,67.3,67.3
2017-01-01 01:55:00,67.4,67.4
2017-01-01 02:00:00,67.3,67.3
2017-01-01 02:05:00,67.6,67.6
2017-01-01 02:10:00,67.4,67.4
2017-01-01 02:15:00,67.8,67.8
2017-01-01 02:20:00,67.1,67.1
2017-01-01 02:25:00,67.6,67.6
2017-01-01 02:30:00,67.8,67.8
2017-01-01 02:35:00,67.0,67.0
2017-01-01 02:40:00,66.9,66.9
2017-01-01 02:45:00,67.5,67.5
2017-01-01 02:50:00,67.1,67.1
2017-01-01 02:55:00,67.2,67.2
2017-01-01 03:00:00,67.4,67.4
2017-01-01 03:05:00,66.6,66.6
2017-01-01 03:10:00,67.6,67.6
2017-01-01 03:15:00,66.7,66.7
2017-01-01 03:20:00,67.8,67.8
2017-01-01 03:25:00,67.4,67.4
2017-01-01 03:30:00,67.5,67.5
2017-01-01 03:35:00,67.7,67.7
2017-01-01 03:40:00,66.8,66.8
2017-01-01 03:45:00,66.8,66.8
2017-01-01 03:50:00,67.3,67.3
2017-01-01 03:55:00,67.5,67.5
2017-01-01 04:00:00,67.5,67.5
2017-01-01 04:05:00,68.0,68.0
2017-01-01 04:10:00,67.1,67.1
2017-01-01 04:15:00,67.9,67.9
2017-01-01 04:20:00,67.0,67.0
2017-01-01 04:25:00,67.7,67.7
2017-01-01 04:30:00,67.3,67.3
2017-01-01 04:35:00,67.3,67.3
2017-01-01 04:40:00,67.7,67.7
2017-01-01 04:45:00,67.3,67.3
